2700, 292, 1547.24, 338.58, 1667.04, 470.39, 0, 0.48
2725, 248, 2061.37, 726.91, 2189.86, 967.50, 0, 0.93
2725, 290, 2267.75, 865.27, 2412.87, 1130.52, 3, 0.26
2725, 292, 1561.48, 340.87, 1666.02, 458.88, 0, 0.30
2750, 248, 2061.99, 725.48, 2189.97, 966.08, 0, 0.93
2750, 290, 2268.15, 871.98, 2411.69, 1131.75, 3, 0.43
2750, 292, 1559.13, 343.39, 1668.96, 463.90, 0, 0.66
2775, 248, 2062.04, 723.73, 2188.96, 965.82, 0, 0.92
2775, 290, 2273.51, 873.59, 2416.38, 1130.41, 1, 0.44
2800, 248, 2059.13, 694.32, 2181.22, 929.63, 0, 0.94
2800, 290, 2281.39, 866.91, 2420.43, 1112.00, 3, 0.36
2800, 311, 2179.56, 1026.02, 2355.24, 1311.38, 2, 0.90
2825, 290, 2277.03, 787.63, 2402.56, 1022.98, 1, 0.96
2825, 311, 2160.62, 935.41, 2336.40, 1210.90, 2, 0.99
2925, 336, 2115.24, 438.69, 2194.45, 574.80, 0, 0.89
2950, 248, 2107.88, 634.54, 2225.74, 837.93, 0, 0.88
2975, 345, 733.25, 578.52, 838.02, 773.31, 0, 0.74
3000, 345, 727.80, 630.98, 836.00, 844.38, 0, 0.57
3175, 373, 746.67, 506.24, 840.85, 674.11, 0, 0.87
3225, 382, 1766.23, 1561.16, 1974.97, 2017.11, 0, 0.92
3225, 384, 798.69, 521.75, 911.29, 693.43, 0, 0.59
3250, 384, 776.50, 516.44, 902.52, 688.04, 0, 0.81
3275, 248, 2198.34, 519.14, 2280.45, 679.22, 0, 0.88
3275, 373, 748.33, 519.31, 873.33, 674.05, 0, 0.58
3300, 373, 744.91, 511.71, 874.96, 674.86, 0, 0.56
3325, 373, 744.62, 511.27, 875.59, 675.07, 0, 0.79
3350, 373, 742.36, 513.21, 872.83, 672.15, 0, 0.58
3375, 373, 742.51, 513.62, 873.79, 672.76, 0, 0.56
3400, 373, 746.57, 514.63, 877.25, 675.79, 0, 0.71
3425, 373, 748.81, 514.12, 867.33, 675.56, 0, 0.76
3450, 373, 744.32, 512.92, 870.85, 674.96, 0, 0.69
3475, 373, 745.64, 512.81, 867.68, 674.95, 0, 0.65
3475, 382, 1859.09, 1507.38, 2094.05, 1931.39, 3, 0.99
3500, 373, 734.53, 514.28, 859.57, 671.69, 0, 0.67
3525, 373, 732.84, 516.03, 849.59, 669.10, 0, 0.48
3550, 373, 729.02, 512.31, 853.42, 669.47, 0, 0.75
3575, 373, 730.35, 514.49, 852.47, 670.78, 0, 0.85
3600, 373, 726.08, 513.48, 853.39, 670.47, 0, 0.68
3650, 382, 2051.29, 1376.77, 2245.56, 1808.94, 0, 0.92
3650, 373, 733.26, 515.91, 845.28, 679.46, 0, 0.58
3700, 434, 2170.72, 932.94, 2324.04, 1232.69, 0, 0.89
3725, 434, 2180.18, 903.83, 2329.93, 1190.28, 0, 0.50
3725, 438, 2534.58, 821.48, 2673.93, 1071.20, 0, 0.92
3750, 434, 2184.85, 898.21, 2335.43, 1173.76, 0, 0.80
3750, 438, 2531.26, 820.84, 2670.10, 1068.30, 0, 0.38
3775, 434, 2190.04, 896.45, 2336.42, 1173.28, 0, 0.73
3775, 438, 2533.02, 822.63, 2671.61, 1068.71, 0, 0.72
3775, 373, 741.99, 518.23, 850.09, 666.92, 0, 0.29
3800, 434, 2187.01, 891.38, 2337.61, 1173.80, 0, 0.41
3800, 438, 2532.84, 822.11, 2673.20, 1068.66, 0, 0.90
3800, 459, 1524.55, 886.07, 1703.12, 1170.59, 0, 0.79
3825, 434, 2186.02, 896.16, 2335.36, 1171.52, 0, 0.55
3825, 438, 2529.24, 821.34, 2668.51, 1069.52, 0, 0.42
3825, 459, 1532.91, 882.16, 1714.57, 1161.45, 0, 0.92
3850, 434, 2185.16, 895.76, 2335.39, 1175.03, 0, 0.69
3850, 438, 2534.15, 819.55, 2673.76, 1070.78, 0, 0.84
3850, 459, 1537.86, 878.43, 1717.45, 1158.12, 0, 0.94
3875, 434, 2186.28, 892.71, 2337.02, 1174.30, 0, 0.78
3875, 438, 2532.47, 819.67, 2674.88, 1068.84, 0, 0.78
3875, 459, 1536.05, 876.78, 1714.11, 1157.19, 0, 0.95
3900, 434, 2185.87, 892.70, 2338.25, 1173.95, 0, 0.26
3900, 438, 2533.38, 820.03, 2675.10, 1069.07, 0, 0.79
3900, 459, 1535.14, 874.68, 1716.83, 1160.68, 0, 0.94
3925, 434, 2185.96, 892.00, 2339.11, 1175.18, 0, 0.32
3925, 438, 2535.71, 820.22, 2676.27, 1070.04, 0, 0.90
3925, 459, 1536.12, 875.76, 1717.44, 1158.49, 0, 0.96
3950, 434, 2186.21, 891.82, 2337.59, 1174.55, 0, 0.38
3950, 438, 2536.62, 820.72, 2676.20, 1070.88, 0, 0.89
3950, 459, 1536.52, 878.30, 1717.01, 1157.55, 0, 0.94
3975, 434, 2186.18, 892.49, 2338.22, 1175.46, 0, 0.36
3975, 438, 2535.52, 822.08, 2675.25, 1070.19, 0, 0.79
3975, 459, 1536.69, 877.07, 1717.22, 1158.77, 0, 0.95
4000, 434, 2186.17, 891.93, 2338.45, 1174.96, 0, 0.65
4000, 438, 2531.98, 821.71, 2671.68, 1070.56, 0, 0.52
4000, 459, 1536.85, 875.99, 1717.62, 1158.07, 0, 0.94
4025, 434, 2185.64, 892.75, 2338.18, 1175.98, 0, 0.43
4025, 438, 2532.36, 820.93, 2673.13, 1070.30, 0, 0.39
