frame,track_id,x,y,w,h,class_id,conf
420,16,2810.8,819.34,2954.33,1072.71,2,0.89
420,34,3021.58,782.58,3140.46,1028.54,0,0.94
420,44,2260.77,745.12,2380.17,976.71,0,0.92
430,1,2605.39,739.51,2725.56,963.69,1,0.98
430,2,1422.33,612.73,1529.61,806.91,0,0.9
430,5,3408.64,806.46,3628.44,1049.47,3,0.83
430,16,2810.98,818.98,2954.13,1072.41,2,0.84
430,34,3026.14,786.61,3141.41,1030.19,0,0.94
430,44,2261.01,745.37,2380.24,977.18,0,0.91
430,73,3411.41,800.21,3613.96,1034.84,3,0.6
440,1,2605.57,739.68,2725.49,963.21,1,0.98
440,2,1423.27,615.58,1529.19,806.82,0,0.84
440,5,3408.69,806.16,3628.92,1049.1,3,0.82
440,16,2811.55,818.49,2954.5,1072.48,2,0.86
440,34,3028.31,789.41,3142.04,1031.05,0,0.93
440,44,2260.91,745.71,2379.75,977.32,0,0.9
440,73,3411.49,800.64,3613.48,1034.45,3,0.6
450,1,2605.26,739.01,2726.39,964.61,1,0.99
450,2,1423.16,613.71,1530.75,807.38,0,0.87
450,5,3407.99,806.99,3628.26,1048.33,3,0.71
450,16,2810.98,819.86,2955.79,1071.98,2,0.81
450,34,3026.94,792.17,3141.26,1032.72,0,0.93
450,44,2260.45,746.3,2380.23,979.13,0,0.9
450,73,3410.4,800.5,3611.97,1033.79,3,0.58
460,1,2604.97,738.52,2726.39,964.88,1,0.98
460,2,1421.23,613.99,1530.65,806.83,0,0.83
460,5,3409.76,806.9,3626.13,1048.99,3,0.85
460,16,2811.89,820.3,2954.56,1070.91,2,0.87
460,34,3027.46,793.76,3140.46,1033.07,0,0.91
460,44,2260.9,747.83,2380.74,979.22,0,0.89
460,73,3412.33,800.66,3610.71,1035.82,3,0.55
470,1,2605.1,738.48,2726.32,964.82,1,0.99
470,2,1422.16,614.17,1530.94,807.16,0,0.76
470,5,3409.93,806.96,3626.12,1048.97,3,0.79
470,16,2811.92,820.29,2955.5,1069.63,2,0.72
470,34,3028.17,794.21,3141.22,1032.65,0,0.91
470,44,2261.67,749.99,2382.83,975.89,0,0.93
470,73,3413.29,800.76,3610.99,1035.52,3,0.58
480,1,2605.33,739.63,2725.17,963.6,1,0.97
480,2,1421.84,612.43,1531.08,806.49,0,0.6
480,5,3407.1,805.54,3629.66,1047.27,3,0.53
480,16,2811.91,820.7,2954.48,1071.12,2,0.88
480,34,3029.48,796.78,3141.12,1032.7,0,0.93
480,44,2261.85,748.67,2384.97,976.74,0,0.94
480,73,3410.43,799.52,3612.75,1034.8,3,0.57
490,1,2605.43,739.25,2724.71,963.71,1,0.98
490,2,1421.79,612.42,1530.35,806.14,0,0.72
490,5,3405.67,804.95,3636.5,1035.07,3,0.82
490,16,2811.6,820.38,2953.89,1070.73,2,0.69
490,34,3029.81,796.45,3141.5,1033.37,0,0.94
490,44,2261.84,749.22,2384.37,979.35,0,0.95
490,73,3406.81,798.96,3617.81,1029.78,3,0.55
500,1,2605.76,738.99,2724.89,963.97,1,0.98
500,2,1421.33,613.52,1529.67,807.57,0,0.8
500,5,3410.06,805,3636.24,1035.33,3,0.58
500,16,2811.99,820.94,2953.35,1071.3,2,0.8
500,34,3030.12,797.89,3141.65,1033.78,0,0.94
500,44,2261.35,749.05,2380.63,978.76,0,0.93
500,73,3408.22,799.4,3614.84,1028.98,3,0.57
510,1,2605.68,738.94,2724.91,963.26,1,0.98
510,2,1423.63,612.97,1526.9,808.01,0,0.82
510,5,3414.04,806.4,3633.16,1038.85,3,0.53
510,16,2811.27,820.87,2954.13,1071.32,2,0.9
510,34,3030.08,797.65,3142.04,1033.72,0,0.94
